Traceback (most recent call last):
  File "/home/ubuntu/clawd/scripts/email_notify_daemon.py", line 32, in <module>
    logging.FileHandler(LOG_FILE),
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1231, in __init__
    StreamHandler.__init__(self, self._open())
                                 ^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1263, in _open
    return open_func(self.baseFilename, self.mode,
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
PermissionError: [Errno 13] Permission denied: '/home/ubuntu/clawd/logs/email_daemon.log'
2026-02-03 16:06:17,307 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:06:17,307 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:08:17,562 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:08:17,562 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:08:17,654 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:08:17,654 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:10:17,907 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:10:17,907 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:10:17,965 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:10:17,965 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:12:18,199 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:12:18,199 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:12:18,266 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:12:18,266 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:14:18,510 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:14:18,510 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:14:18,570 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:14:18,570 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:16:18,814 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:16:18,814 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:16:18,874 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:16:18,874 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:18:19,128 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:18:19,128 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:18:19,196 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:18:19,196 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:20:19,440 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:20:19,440 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:20:19,507 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:20:19,507 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:22:19,780 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:22:19,780 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:22:19,842 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:22:19,842 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:24:20,102 - INFO - file_cache is only supported with oauth2client<4.0.0
